# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 6
# process  = nu_e nu_mu~ -> nu_e nu_mu~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	2.81218923188533e-27	1.57013171246727e-18
3.29034456231267e-12	3.04457936504411e-26	1.57013171246727e-18
1.08263673387405e-11	3.29617345979168e-25	1.57013171246727e-18
3.56224789026243e-11	3.5685584687912e-24	1.57013171246727e-18
1.17210229753347e-10	3.86345248529068e-23	1.57013171246727e-18
3.85662042116344e-10	4.1827155801527e-22	1.57013171246727e-18
1.26896100316791e-09	4.52836153442061e-21	1.57013171246727e-18
4.17531893656036e-09	4.90257054142602e-20	1.57013171246727e-18
1.37382379588325e-08	5.30770295855667e-19	1.57013171246727e-18
4.52035365636018e-08	5.74631419542536e-18	1.57013171246727e-18
1.48735210729349e-07	6.22117083234945e-17	1.57013171246727e-18
4.89390091847743e-07	6.73526807080734e-16	4.2529365876785e-18
1.61026202756092e-06	7.29184862594504e-15	4.60438537665772e-17
5.29831690628364e-06	7.8943983096226e-14	8.08819850109237e-17
1.74332882219997e-05	8.54328068178356e-13	4.04343939931309e-16
5.73615251044861e-05	9.24805334384646e-12	2.31213174811535e-15
0.000188739182213507	1.00204549213725e-10	5.90798281083999e-14
0.000621016941891554	1.08485125877787e-09	6.39619921472543e-13
0.00204335971785692	1.17449982327498e-08	6.92476023418239e-12
0.00672335753649925	1.27155664947133e-07	7.49699988650722e-11
0.0221221629107042	1.37663390117691e-06	8.11652845221443e-10
0.0727895384398306	1.49039399985039e-05	8.78726335481086e-09
0.239502661998746	0.000161355024442725	9.51354890215261e-08
0.788046281566982	0.00174682960432047	1.03012977250474e-06
2.59294379740464	0.0189048878758104	1.11711069242753e-05
8.5316785241727	0.203863056076922	0.000123142221474697
28.0721620394114	2.1173722340809	0.00160815437534659
92.3670857187375	16.2348007888461	0.0068210684833125
303.919538231316	48.3946093528124	0.0172006723430761
999.999999999988	65.586854751898	0.0329286480695791
