# Program settings for SigmaNu
# Electroweak scheme and input parameters
# Scheme = Complex mass scheme
# alpha_GF = 0.00755898078237864
# Pole masses/widths for particles [GeV]
# mw = 80.35797361
# gw = 2.084298894
# mz = 91.15348062
# gz = 2.494266379
# s^2_thetaw (derived) = (0.222868505240788,-0.00110716741475141)
# charged leptons
# m_e = 0.0005109989461
# m_m = 0.10565837
# m_t = 1.77686
# quarks
# m_d = 0
# m_u = 0
# m_s = 0.2
# m_c = 1.51
# m_b = 4.92
# m_t = 173

# channel_id = 9
# process  = nu_1 nu_1~ -> nu_2 nu_2~
# Ecms	sigma[pb]	sigma_error[pb]
1e-12	2.81218923188533e-27	1.57013171246727e-18
3.29034456231267e-12	3.04457936504411e-26	1.57013171246727e-18
1.08263673387405e-11	3.29617345979168e-25	1.57013171246727e-18
3.56224789026243e-11	3.5685584687912e-24	1.57013171246727e-18
1.17210229753347e-10	3.86345248529068e-23	1.57013171246727e-18
3.85662042116344e-10	4.1827155801527e-22	1.57013171246727e-18
1.26896100316791e-09	4.52836153442061e-21	1.57013171246727e-18
4.17531893656036e-09	4.90257054142602e-20	1.57013171246727e-18
1.37382379588325e-08	5.30770295855667e-19	1.57013171246727e-18
4.52035365636018e-08	5.74631419542536e-18	1.57013171246727e-18
1.48735210729349e-07	6.22117083234945e-17	1.57013171246727e-18
4.89390091847743e-07	6.73526807080734e-16	4.2529365876785e-18
1.61026202756092e-06	7.29184862594504e-15	4.60438537665773e-17
5.29831690628364e-06	7.89439830962267e-14	8.08819850109241e-17
1.74332882219997e-05	8.54328068178432e-13	4.04343939931373e-16
5.73615251044861e-05	9.24805334385555e-12	2.31213174811839e-15
0.000188739182213507	1.00204549214798e-10	5.90798281084416e-14
0.000621016941891554	1.08485125890364e-09	6.39619921465365e-13
0.00204335971785692	1.17449982474916e-08	6.92476023326779e-12
0.00672335753649925	1.27155666675015e-07	7.49699987578807e-11
0.0221221629107042	1.37663410370234e-06	8.11652832653493e-10
0.0727895384398306	1.49039637365688e-05	8.78726188172954e-09
0.239502661998746	0.000161357806805595	9.51353163575487e-08
0.788046281566982	0.00174715574959767	1.03010953268867e-06
2.59294379740464	0.0189431457868725	1.1168732414748e-05
8.5316785241727	0.208386309619702	0.000122862958308307
28.0721620394114	2.70517599778587	0.00159495087004074
92.3670857187375	16368.743862936	9.65088492839001
303.919538231316	2.54059836251845	0.00149791716769532
999.999999999988	0.197618946843994	0.000116514604396637
